date,Air.Pressure_hourly.mean,Air.Temperature_hourly.mean,Relative.Humidity_hourly.mean,sensors.VPD,Solar.Voltage_hourly.mean,localTime
2019-01-08 18:00:00,1026.0,24.21,48.64,1.55,1.38,2019-01-08 18:00:00-05:00
2019-01-08 19:00:00,,,,,,2019-01-08 19:00:00-05:00
2019-01-08 20:00:00,,,,,,2019-01-08 20:00:00-05:00
2019-01-08 21:00:00,,,,,,2019-01-08 21:00:00-05:00
2019-01-08 22:00:00,,,,,,2019-01-08 22:00:00-05:00
2019-01-08 23:00:00,,,,,,2019-01-08 23:00:00-05:00
2019-01-09 00:00:00,,,,,,2019-01-09 00:00:00-05:00
2019-01-09 01:00:00,,,,,,2019-01-09 01:00:00-05:00
2019-01-09 02:00:00,,,,,,2019-01-09 02:00:00-05:00
2019-01-09 03:00:00,,,,,,2019-01-09 03:00:00-05:00
2019-01-09 04:00:00,,,,,,2019-01-09 04:00:00-05:00
2019-01-09 05:00:00,,,,,,2019-01-09 05:00:00-05:00
2019-01-09 06:00:00,,,,,,2019-01-09 06:00:00-05:00
2019-01-09 07:00:00,,,,,,2019-01-09 07:00:00-05:00
2019-01-09 08:00:00,,,,,,2019-01-09 08:00:00-05:00
2019-01-09 09:00:00,,,,,,2019-01-09 09:00:00-05:00
2019-01-09 10:00:00,,,,,,2019-01-09 10:00:00-05:00
2019-01-09 11:00:00,,,,,,2019-01-09 11:00:00-05:00
2019-01-09 12:00:00,,,,,,2019-01-09 12:00:00-05:00
2019-01-09 13:00:00,,,,,,2019-01-09 13:00:00-05:00
2019-01-09 14:00:00,,,,,,2019-01-09 14:00:00-05:00
2019-01-09 15:00:00,,,,,,2019-01-09 15:00:00-05:00
2019-01-09 16:00:00,,,,,,2019-01-09 16:00:00-05:00
2019-01-09 17:00:00,,,,,,2019-01-09 17:00:00-05:00
2019-01-09 18:00:00,,,,,,2019-01-09 18:00:00-05:00
2019-01-09 19:00:00,,,,,,2019-01-09 19:00:00-05:00
2019-01-09 20:00:00,,,,,,2019-01-09 20:00:00-05:00
2019-01-09 21:00:00,,,,,,2019-01-09 21:00:00-05:00
2019-01-09 22:00:00,,,,,,2019-01-09 22:00:00-05:00
2019-01-09 23:00:00,,,,,,2019-01-09 23:00:00-05:00
2019-01-10 00:00:00,,,,,,2019-01-10 00:00:00-05:00
2019-01-10 01:00:00,,,,,,2019-01-10 01:00:00-05:00
2019-01-10 02:00:00,,,,,,2019-01-10 02:00:00-05:00
2019-01-10 03:00:00,,,,,,2019-01-10 03:00:00-05:00
2019-01-10 04:00:00,,,,,,2019-01-10 04:00:00-05:00
2019-01-10 05:00:00,,,,,,2019-01-10 05:00:00-05:00
2019-01-10 06:00:00,,,,,,2019-01-10 06:00:00-05:00
2019-01-10 07:00:00,,,,,,2019-01-10 07:00:00-05:00
2019-01-10 08:00:00,,,,,,2019-01-10 08:00:00-05:00
2019-01-10 09:00:00,,,,,,2019-01-10 09:00:00-05:00
2019-01-10 10:00:00,,,,,,2019-01-10 10:00:00-05:00
2019-01-10 11:00:00,,,,,,2019-01-10 11:00:00-05:00
2019-01-10 12:00:00,,,,,,2019-01-10 12:00:00-05:00
2019-01-10 13:00:00,,,,,,2019-01-10 13:00:00-05:00
2019-01-10 14:00:00,,,,,,2019-01-10 14:00:00-05:00
2019-01-10 15:00:00,,,,,,2019-01-10 15:00:00-05:00
2019-01-10 16:00:00,,,,,,2019-01-10 16:00:00-05:00
2019-01-10 17:00:00,,,,,,2019-01-10 17:00:00-05:00
2019-01-10 18:00:00,,,,,,2019-01-10 18:00:00-05:00
2019-01-10 19:00:00,,,,,,2019-01-10 19:00:00-05:00
2019-01-10 20:00:00,,,,,,2019-01-10 20:00:00-05:00
2019-01-10 21:00:00,,,,,,2019-01-10 21:00:00-05:00
